Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
ID0203,3,2021-01-04,13:32:10,0,Y,,124.0,1.99e-07,3
ID0204,2,2021-01-04,13:32:10,0,Y,,17.0,1.23e-07,5
ID0205,7,2021-01-04,13:45:07,3,Y,,113.0,3.6e-07,3
ID0206,4,2021-01-04,13:45:07,4,Y,,25.0,1.47e-07,5
ID0207,4,2021-01-04,13:56:38,0,Y,,52.0,2.62e-07,5
ID0208,1,2021-01-04,13:56:38,0,Y,,28.0,1.64e-07,5
ID0209,3,2021-01-04,14:25:26,4,Y,,69.0,1.85e-07,3
ID0210,6,2021-01-04,14:25:26,3,Y,,106.0,2.32e-07,3
ID0211,4,2021-01-04,14:28:19,4,N,,,,0
ID0212,5,2021-01-04,14:28:19,2,Y,,26.0,2.99e-07,3
ID0213,5,2021-01-04,14:31:12,2,Y,,53.0,3.55e-07,4
ID0214,6,2021-01-04,14:31:12,4,Y,,77.0,2.5e-07,2
ID0215,4,2021-01-04,14:49:55,1,Y,,45.0,1.82e-07,3
ID0216,0,2021-01-04,14:49:55,4,N,,,,0
ID0217,3,2021-01-04,15:23:02,3,Y,,56.0,2.56e-07,4
ID0218,7,2021-01-04,15:23:02,0,Y,,13.0,2.36e-07,2
ID0219,7,2021-01-04,15:48:58,0,Y,,120.0,4.1e-07,5
ID0220,2,2021-01-04,15:48:58,2,Y,,22.0,5e-08,1
ID0221,6,2021-01-04,16:48:00,2,Y,,81.0,2.01e-07,4
ID0222,4,2021-01-04,16:48:00,3,N,,,,0
ID0223,6,2021-01-04,16:49:26,1,Y,,71.0,4.8e-08,2
ID0224,7,2021-01-04,16:49:26,2,Y,,75.0,9.3e-08,4
ID0225,6,2021-01-04,16:49:26,4,Y,,77.0,1.62e-07,4
ID0226,5,2021-01-04,16:49:26,3,Y,,88.0,3.87e-07,4
ID0227,7,2021-01-04,17:35:31,0,Y,,82.0,1.85e-07,2
ID0228,4,2021-01-04,17:35:31,4,Y,,110.0,3.9e-07,3
ID0229,6,2021-01-04,17:39:50,0,Y,,70.0,9.2e-08,3
ID0230,0,2021-01-04,17:39:50,0,Y,,117.0,2.2e-07,3
ID0231,5,2021-01-05,9:08:38,3,Y,,18.0,5e-08,3
ID0232,5,2021-01-05,9:08:38,3,Y,,113.0,1.56e-07,4
ID0233,7,2021-01-05,9:25:55,1,Y,,68.0,2.09e-07,5
ID0234,3,2021-01-05,9:25:55,2,Y,,67.0,2.54e-07,5
ID0235,5,2021-01-05,9:33:07,4,Y,,36.0,6.7e-08,5
ID0236,7,2021-01-05,9:33:07,3,N,,,,0
ID0237,0,2021-01-05,10:00:29,4,Y,,33.0,1.5e-07,1
ID0238,1,2021-01-05,10:00:29,1,Y,,113.0,1.19e-07,5
ID0239,3,2021-01-05,10:49:26,1,Y,,106.0,3.79e-07,3
ID0240,5,2021-01-05,10:49:26,3,Y,,23.0,2.99e-07,3
ID0241,5,2021-01-05,11:31:12,3,N,,,,0
ID0242,3,2021-01-05,11:31:12,2,Y,,11.0,2.82e-07,1
ID0243,3,2021-01-05,11:41:17,1,Y,,73.0,2.85e-07,5
ID0244,1,2021-01-05,11:41:17,0,Y,,109.0,2.89e-07,5
ID0245,6,2021-01-05,11:49:55,2,Y,,29.0,2.54e-07,4
ID0246,1,2021-01-05,11:49:55,3,N,,,,0
ID0247,0,2021-01-05,11:49:55,0,Y,,81.0,7.4e-08,4
ID0248,3,2021-01-05,11:49:55,1,Y,,59.0,2.32e-07,1
ID0249,0,2021-01-05,12:00:00,3,Y,,32.0,3.89e-07,4
ID0250,6,2021-01-05,12:00:00,0,Y,,116.0,4.2e-08,4
ID0251,2,2021-01-05,12:12:58,2,Y,,92.0,1.15e-07,5
ID0252,3,2021-01-05,12:12:58,3,Y,,62.0,3.62e-07,5
ID0253,5,2021-01-05,13:04:48,2,Y,,83.0,1.13e-07,5
ID0254,5,2021-01-05,13:04:48,0,Y,,71.0,1.51e-07,3
ID0255,3,2021-01-05,13:59:31,0,Y,,74.0,2.72e-07,3
ID0256,5,2021-01-05,13:59:31,4,Y,,96.0,3.46e-07,4
ID0257,2,2021-01-05,14:42:43,0,Y,,110.0,1.01e-07,1
ID0258,4,2021-01-05,14:42:43,3,Y,,110.0,1.58e-07,3
ID0259,1,2021-01-05,15:18:43,4,Y,,117.0,1.83e-07,4
ID0260,0,2021-01-05,15:18:43,0,Y,,44.0,3.53e-07,3
ID0261,2,2021-01-05,15:20:10,1,Y,,47.0,3.62e-07,4
ID0262,3,2021-01-05,15:20:10,0,Y,,97.0,7.6e-08,3
ID0263,3,2021-01-05,15:31:41,3,Y,,67.0,1.59e-07,4
ID0264,2,2021-01-05,15:31:41,3,Y,,72.0,4.08e-07,3
ID0265,0,2021-01-05,15:31:41,1,Y,,68.0,2.61e-07,3
ID0266,5,2021-01-05,15:31:41,2,Y,,98.0,3.82e-07,5
ID0267,5,2021-01-05,15:37:26,3,Y,,120.0,5.6e-08,3
ID0268,1,2021-01-05,15:37:26,2,Y,,13.0,1.53e-07,1
ID0269,4,2021-01-05,15:44:38,0,Y,,95.0,1.07e-07,5
ID0270,6,2021-01-05,15:44:38,2,Y,,31.0,4.2e-08,5
ID0271,1,2021-01-05,16:06:14,3,Y,,113.0,3.82e-07,3
ID0272,6,2021-01-05,16:06:14,4,Y,,116.0,2.8e-07,3
ID0273,6,2021-01-05,16:16:19,0,Y,,94.0,3.29e-07,5
ID0274,6,2021-01-05,16:16:19,0,Y,,51.0,2.82e-07,4
ID0275,2,2021-01-05,16:27:50,4,Y,,60.0,2.47e-07,4
ID0276,2,2021-01-05,16:27:50,1,Y,,59.0,3.64e-07,2
ID0277,7,2021-01-05,17:25:26,4,N,,,,0
ID0278,3,2021-01-05,17:25:26,2,N,,,,0
ID0279,5,2021-01-05,17:29:46,4,N,,,,0
ID0280,1,2021-01-05,17:29:46,1,Y,,16.0,2.13e-07,4
ID0281,2,2021-01-05,17:38:24,4,Y,,81.0,1.11e-07,3
ID0282,5,2021-01-05,17:38:24,3,Y,,65.0,4.06e-07,1
ID0283,6,2021-01-05,17:44:10,3,Y,,55.0,1.84e-07,2
ID0284,6,2021-01-05,17:44:10,4,N,,,,0
ID0285,6,2021-01-05,17:57:07,4,Y,,31.0,1.45e-07,4
ID0286,2,2021-01-05,17:57:07,3,Y,,45.0,3.13e-07,2
ID0287,3,2021-01-06,9:08:38,4,N,,,,0
ID0288,7,2021-01-06,9:08:38,2,Y,,43.0,1.29e-07,5
ID0289,7,2021-01-06,10:06:14,4,Y,,55.0,3.56e-07,4
ID0290,7,2021-01-06,10:06:14,1,Y,,63.0,1.39e-07,3
ID0291,5,2021-01-06,10:07:41,2,N,,,,0
ID0292,4,2021-01-06,10:07:41,1,Y,,122.0,3.52e-07,1
ID0293,7,2021-01-06,10:32:10,1,Y,,71.0,1.59e-07,4
ID0294,4,2021-01-06,10:32:10,4,Y,,54.0,2.97e-07,4
ID0295,7,2021-01-06,10:42:14,3,Y,,74.0,2.02e-07,4
ID0296,7,2021-01-06,10:42:14,0,Y,,125.0,2.87e-07,4
ID0297,1,2021-01-06,11:12:29,2,Y,,110.0,2.23e-07,3
ID0298,0,2021-01-06,11:12:29,3,N,,,,0
ID0299,6,2021-01-06,11:29:46,4,Y,,74.0,9.1e-08,5
ID0300,2,2021-01-06,11:29:46,2,Y,,80.0,2.67e-07,4
ID0301,1,2021-01-06,11:38:24,2,N,,,,0
ID0302,5,2021-01-06,11:38:24,1,Y,,110.0,2.34e-07,2
ID0303,7,2021-01-06,11:45:36,2,Y,,26.0,1.88e-07,3
ID0304,3,2021-01-06,11:45:36,4,N,,,,0
ID0305,5,2021-01-06,12:05:46,0,Y,,97.0,1.07e-07,3
ID0306,1,2021-01-06,12:05:46,0,Y,,82.0,3.4e-07,3
ID0307,0,2021-01-06,12:07:12,3,Y,,102.0,3.53e-07,5
ID0308,4,2021-01-06,12:07:12,0,Y,,120.0,5.2e-08,5
ID0309,3,2021-01-06,13:30:43,3,Y,,70.0,3.19e-07,3
ID0310,2,2021-01-06,13:30:43,0,N,,,,0
ID0311,7,2021-01-06,13:58:05,2,Y,,122.0,1.76e-07,3
ID0312,6,2021-01-06,13:58:05,3,N,,,,0
ID0313,5,2021-01-06,14:03:50,2,Y,,19.0,5.5e-08,1
ID0314,3,2021-01-06,14:03:50,2,Y,,71.0,1.57e-07,4
ID0315,5,2021-01-06,14:13:55,4,Y,,24.0,2.99e-07,1
ID0316,6,2021-01-06,14:13:55,4,Y,,67.0,3.36e-07,1
ID0317,6,2021-01-06,14:32:38,3,Y,,57.0,2.54e-07,3
ID0318,2,2021-01-06,14:32:38,3,Y,,108.0,3.03e-07,4
ID0319,7,2021-01-06,14:57:07,2,Y,,99.0,2.48e-07,4
ID0320,7,2021-01-06,14:57:07,2,Y,,56.0,2.92e-07,1
ID0321,7,2021-01-06,15:02:53,2,Y,,121.0,2.37e-07,3
ID0322,3,2021-01-06,15:02:53,0,N,,,,0
ID0323,5,2021-01-06,15:12:58,1,Y,,72.0,3.6e-07,1
ID0324,3,2021-01-06,15:12:58,1,Y,,54.0,3.75e-07,4
ID0325,6,2021-01-06,16:17:46,0,Y,,30.0,2.76e-07,3
ID0326,4,2021-01-06,16:17:46,2,Y,,44.0,6.4e-08,2
ID0327,3,2021-01-06,16:22:05,2,Y,,97.0,1.18e-07,4
ID0328,4,2021-01-06,16:22:05,3,Y,,47.0,1.09e-07,3
ID0329,1,2021-01-06,16:27:50,3,Y,,53.0,1.03e-07,3
ID0330,1,2021-01-06,16:27:50,1,N,,,,0
ID0331,6,2021-01-06,16:35:02,2,N,,,,0
ID0332,4,2021-01-06,16:35:02,3,N,,,,0
ID0333,7,2021-01-06,16:39:22,0,Y,,81.0,2.25e-07,3
ID0334,2,2021-01-06,16:39:22,1,Y,,11.0,3.4e-08,4
ID0335,6,2021-01-06,17:00:58,2,Y,,48.0,5.3e-08,5
ID0336,7,2021-01-06,17:00:58,1,Y,,37.0,4.14e-07,5
ID0337,6,2021-01-06,17:19:41,4,Y,,115.0,1.54e-07,4
ID0338,3,2021-01-06,17:19:41,2,Y,,81.0,5.3e-08,4
ID0339,0,2021-01-06,17:21:07,1,N,,,,0
ID0340,4,2021-01-06,17:21:07,0,Y,,12.0,1.92e-07,5
ID0341,7,2021-01-06,17:22:34,0,Y,,75.0,1.71e-07,3
ID0342,4,2021-01-06,17:22:34,1,Y,,42.0,7.7e-08,4
ID0343,3,2021-01-06,17:24:00,0,Y,,96.0,1.05e-07,5
ID0344,7,2021-01-06,17:24:00,2,Y,,58.0,1.11e-07,5
ID0345,1,2021-01-07,9:04:19,1,Y,,62.0,3.16e-07,5
ID0346,3,2021-01-07,9:04:19,2,Y,,74.0,1.3e-07,5
ID0347,0,2021-01-07,9:07:12,4,Y,,26.0,7e-08,3
ID0348,2,2021-01-07,9:07:12,4,N,,,,0
ID0349,5,2021-01-07,9:20:10,4,Y,,40.0,3.08e-07,2
ID0350,5,2021-01-07,9:20:10,3,Y,,12.0,2.94e-07,3
ID0351,5,2021-01-07,10:14:53,1,Y,,114.0,2.21e-07,5
ID0352,0,2021-01-07,10:14:53,1,Y,,85.0,2.09e-07,4
ID0353,2,2021-01-07,10:23:31,0,Y,,52.0,1.15e-07,5
ID0354,3,2021-01-07,10:23:31,3,Y,,60.0,2.58e-07,3
ID0355,5,2021-01-07,10:33:36,0,Y,,76.0,3.07e-07,4
ID0356,7,2021-01-07,10:33:36,1,N,,,,0
ID0357,0,2021-01-07,10:48:00,3,N,,,,0
ID0358,5,2021-01-07,10:48:00,3,Y,,25.0,8e-08,5
ID0359,3,2021-01-07,11:36:58,3,Y,,37.0,1.52e-07,3
ID0360,1,2021-01-07,11:36:58,0,Y,,71.0,3.41e-07,3
ID0361,4,2021-01-07,11:42:43,0,Y,,76.0,2.77e-07,1
ID0362,7,2021-01-07,11:42:43,4,Y,,66.0,4.1e-07,3
ID0363,2,2021-01-07,11:47:02,0,Y,,72.0,2.05e-07,3
ID0364,4,2021-01-07,11:47:02,0,Y,,47.0,3.97e-07,5
ID0365,4,2021-01-07,12:08:38,2,N,,,,0
ID0366,3,2021-01-07,12:08:38,2,Y,,29.0,1.71e-07,5
ID0367,1,2021-01-07,12:36:00,3,N,,,,0
ID0368,0,2021-01-07,12:36:00,1,Y,,122.0,1e-07,4
ID0369,3,2021-01-07,12:48:58,4,Y,,52.0,2.46e-07,5
ID0370,6,2021-01-07,12:48:58,0,Y,,33.0,2.66e-07,4
ID0371,5,2021-01-07,13:26:24,2,Y,,123.0,1.44e-07,3
ID0372,3,2021-01-07,13:26:24,4,Y,,23.0,1.23e-07,4
ID0373,0,2021-01-07,13:30:43,3,N,,,,0
ID0374,7,2021-01-07,13:30:43,0,Y,,29.0,2.05e-07,5
